time,mouse,temp
0,f1,37.11
60,f1,38.74
120,f1,38.13
180,f1,37.88
240,f1,37.92
300,f1,37.15
360,f1,38.24
420,f1,38.34
480,f1,38.23
540,f1,37.45
600,f1,36.79
660,f1,37.06
720,f1,36.41
780,f1,36.37
840,f1,38.0
900,f1,36.51
960,f1,37.03
1020,f1,36.48
1080,f1,36.26
1140,f1,36.78
1200,f1,36.46
1260,f1,37.29
1320,f1,36.72
1380,f1,36.85
1440,f1,38.2
1500,f1,38.72
1560,f1,38.79
1620,f1,38.51
1680,f1,38.5
1740,f1,38.58
1800,f1,38.71
1860,f1,38.62
1920,f1,38.35
1980,f1,37.2
2040,f1,36.89
2100,f1,37.64
2160,f1,36.74
2220,f1,36.8
2280,f1,36.7
2340,f1,36.7
2400,f1,36.65
2460,f1,36.57
2520,f1,36.43
2580,f1,36.57
2640,f1,36.34
2700,f1,36.76
2760,f1,36.53
2820,f1,36.89
2880,f1,38.35
2940,f1,38.62
3000,f1,38.4
3060,f1,38.5
3120,f1,38.18
3180,f1,36.84
3240,f1,37.84
3300,f1,38.11
3360,f1,37.83
3420,f1,38.17
3480,f1,36.59
3540,f1,36.73
3600,f1,37.62
3660,f1,36.71
3720,f1,36.21
3780,f1,36.99
3840,f1,36.13
3900,f1,35.81
3960,f1,37.34
4020,f1,36.57
4080,f1,36.18
4140,f1,36.58
4200,f1,36.82
4260,f1,36.75
4320,f1,37.45
4380,f1,38.59
4440,f1,38.54
4500,f1,38.11
4560,f1,38.11
4620,f1,38.2
4680,f1,38.35
4740,f1,38.31
4800,f1,38.4
4860,f1,36.63
4920,f1,36.81
4980,f1,37.59
5040,f1,36.82
5100,f1,36.52
5160,f1,36.67
5220,f1,37.6
5280,f1,36.58
5340,f1,36.22
5400,f1,36.25
5460,f1,36.55
5520,f1,36.36
5580,f1,36.9
5640,f1,36.41
5700,f1,37.76
5760,f1,38.11
5820,f1,38.38
5880,f1,38.7
5940,f1,38.27
6000,f1,38.49
6060,f1,38.43
6120,f1,38.16
6180,f1,38.73
6240,f1,38.22
6300,f1,37.07
6360,f1,36.63
6420,f1,38.04
6480,f1,36.84
